last word,current word,next word
10,10,1
10,1,3
1,3,3
3,3,2
3,2,8
2,8,11
8,11,2
11,2,7
2,7,4
7,4,10
4,10,2
10,2,12
2,12,2
12,2,6
2,6,8
6,8,1
8,1,3
1,3,4
3,4,7
4,7,2
7,2,7
2,7,2
7,2,7
2,7,4
7,4,2
4,2,5
2,5,5
5,5,2
5,2,7
2,7,5
7,5,2
5,2,5
2,5,3
5,3,1
3,1,2
1,2,5
2,5,4
5,4,4
4,4,2
4,2,3
2,3,7
3,7,4
7,4,6
4,6,9
6,9,4
9,4,5
4,5,3
5,3,4
3,4,2
4,2,2
2,2,7
2,7,3
7,3,6
3,6,5
6,5,3
5,3,10
3,10,6
10,6,5
6,5,5
5,5,2
5,2,3
2,3,10
3,10,2
10,2,12
2,12,2
12,2,8
2,8,2
8,2,7
2,7,1
7,1,3
1,3,5
3,5,1
5,1,3
1,3,6
3,6,3
6,3,7
3,7,1
7,1,6
1,6,1
6,1,1
1,1,4
1,4,14
4,14,1
14,1,1
1,1,7
1,7,2
7,2,5
2,5,3
5,3,10
3,10,1
10,1,5
1,5,10
5,10,1
10,1,5
1,5,6
5,6,7
6,7,1
7,1,10
1,10,3
10,3,1
3,1,8
1,8,6
8,6,9
6,9,2
9,2,7
2,7,3
7,3,3
3,3,3
3,3,2
3,2,8
2,8,2
8,2,10
2,10,2
10,2,10
2,10,7
10,7,8
7,8,4
8,4,18
4,18,1
18,1,3
1,3,1
3,1,8
1,8,5
8,5,2
5,2,4
2,4,4
4,4,1
4,1,7
1,7,10
7,10,14
10,14,13
14,13,1
13,1,9
1,9,2
9,2,11
2,11,1
11,1,4
1,4,4
4,4,3
4,3,10
3,10,2
10,2,7
2,7,10
7,10,7
10,7,1
7,1,5
1,5,2
5,2,7
2,7,6
7,6,1
6,1,7
1,7,1
7,1,5
1,5,2
5,2,5
2,5,8
5,8,7
8,7,2
7,2,17
2,17,2
17,2,6
2,6,9
6,9,6
9,6,3
6,3,9
3,9,5
9,5,10
5,10,2
10,2,4
2,4,6
4,6,2
6,2,4
2,4,2
4,2,9
2,9,15
9,15,2
15,2,5
2,5,1
5,1,8
1,8,11
8,11,3
11,3,6
3,6,2
6,2,8
2,8,4
8,4,7
4,7,3
7,3,3
3,3,9
3,9,1
9,1,8
1,8,7
8,7,2
7,2,6
2,6,2
6,2,3
2,3,2
3,2,3
2,3,7
3,7,2
7,2,7
2,7,19
7,19,10
19,10,4
10,4,5
4,5,12
5,12,5
12,5,2
5,2,8
2,8,9
8,9,2
9,2,8
2,8,11
8,11,3
11,3,5
3,5,3
5,3,8
3,8,3
8,3,11
3,11,8
11,8,9
8,9,2
9,2,11
2,11,12
11,12,1
12,1,12
1,12,1
12,1,6
1,6,2
6,2,8
2,8,11
8,11,1
11,1,6
1,6,2
6,2,5
2,5,1
5,1,10
1,10,2
10,2,7
2,7,9
7,9,2
9,2,2
2,2,6
2,6,12
6,12,4
12,4,1
4,1,6
1,6,3
6,3,9
3,9,1
9,1,9
1,9,13
9,13,1
13,1,12
1,12,2
12,2,7
2,7,1
7,1,1
1,1,9
1,9,14
9,14,1
14,1,1
1,1,6
1,6,3
6,3,6
3,6,1
6,1,14
1,14,2
14,2,6
2,6,14
6,14,7
14,7,1
7,1,11
1,11,4
11,4,5
4,5,10
5,10,4
10,4,5
4,5,6
5,6,8
6,8,8
8,8,5
8,5,10
5,10,6
10,6,9
6,9,1
9,1,4
1,4,6
4,6,10
6,10,4
10,4,5
4,5,7
5,7,4
7,4,6
4,6,2
6,2,4
2,4,5
4,5,6
5,6,9
6,9,7
9,7,10
7,10,8
10,8,4
8,4,1
4,1,6
1,6,10
6,10,9
10,9,4
9,4,8
4,8,7
8,7,7
7,7,7
7,7,5
7,5,2
5,2,7
2,7,7
7,7,8
7,8,7
8,7,12
7,12,1
12,1,9
1,9,8
9,8,11
8,11,4
11,4,4
4,4,7
4,7,2
7,2,7
2,7,8
7,8,10
8,10,7
10,7,2
7,2,7
2,7,7
7,7,5
7,5,6
5,6,6
6,6,5
